name,type,distance,moving_time,total_elevation_gain,start_date
Afternoon Pickleball,Workout,0.0,4023,0.0,2023-06-13T23:22:45Z
Afternoon Ride,Ride,6826.7,1576,73.6,2023-06-13T21:43:37Z
Night Walk,Walk,1462.7,239,0.0,2023-06-13T04:56:55Z
Laps x steps ,Run,5944.0,2256,33.6,2023-06-12T23:49:18Z
Lunch Run,Run,1028.5,343,10.0,2023-06-12T19:13:00Z
Evening Weight Training,WeightTraining,0.0,1375,0.0,2023-06-12T01:39:17Z
Evening Elliptical,Elliptical,0.0,1520,0.0,2023-06-12T01:11:11Z
Afternoon Walk,Walk,3320.0,3020,107.0,2023-06-11T23:36:14Z
Lunch Walk,Walk,3115.5,2410,22.4,2023-06-11T18:51:51Z
Modified beach run ,Run,13138.3,4838,94.2,2023-06-10T22:07:58Z
Pre-flight run for coffee ,Run,812.7,295,10.8,2023-06-10T14:38:28Z
20 min Broadway Ride with Benny Adami,Ride,9144.6,1201,0.0,2023-06-10T00:22:36Z
30 min Disney Ride with Emma Lovewell,Ride,13505.2,1800,0.0,2023-06-09T23:50:48Z
Afternoon Walk,Walk,634.9,469,15.8,2023-06-09T22:41:22Z
Morning Walk,Walk,1082.3,117,0.0,2023-06-09T16:47:58Z
30 min The Little Mermaid Ride with Tunde Oyeneyin,Ride,13290.2,1800,0.0,2023-06-09T02:39:28Z
Night Walk,Walk,2282.2,1925,96.2,2023-06-08T06:20:16Z
Lunch Ride to conf ,Ride,5887.7,1610,22.2,2023-06-07T19:02:58Z
Evening Tennis,Workout,0.0,6247,0.0,2023-06-07T01:33:23Z
Evening Walk,Walk,2368.7,1082,2.4,2023-06-07T01:12:15Z
Lobby day break walk and talk ,Walk,3924.5,2992,18.0,2023-06-05T22:29:36Z
Afternoon Walk,Walk,1437.2,376,0.0,2023-06-04T23:52:48Z
Afternoon Ride,Ride,6345.9,1422,86.0,2023-06-04T21:04:39Z
Afternoon Pickleball,Workout,0.0,1102,0.0,2023-06-04T20:36:15Z
Afternoon Pickleball,Workout,0.0,365,0.0,2023-06-04T20:15:09Z
Morning Ride,Ride,6164.8,1371,68.8,2023-06-04T15:30:57Z
Evening Walk,Walk,1952.9,1440,89.8,2023-06-04T01:16:09Z
Afternoon Pickleball,Workout,0.0,10074,0.0,2023-06-03T22:05:54Z
