,name,type,distance,moving_time,total_elevation_gain,start_date_local
750,Night Walk,Walk,843.4,647,42.9,2022-07-09T00:10:38Z
752,To tennissss,Walk,6283.1,4694,92.7,2022-07-08T16:19:05Z
753,"Hoppy birdy, Chad! ",Walk,4929.2,4403,125.9,2022-07-02T11:48:08Z
754,Didn’t start Strava till after past north beach ,Walk,2917.4,2790,141.2,2022-07-01T15:59:46Z
756,Walk 2 &Juliet!! ,Walk,1892.5,1289,0.0,2022-06-22T19:26:40Z
757,Post-conf happy hr ,Walk,2759.4,2156,15.3,2022-06-21T21:20:31Z
758,Distillery district is so cute Omg post-cocktails ,Walk,3235.3,2707,18.7,2022-06-20T21:07:52Z
759,Boba * badge pickup ,Walk,4925.4,3900,5.5,2022-06-20T15:19:39Z
760,Collision conf post-redeye,Walk,5088.1,3439,12.5,2022-06-20T09:44:58Z
762,Walk post-shiv body shots ,Walk,2016.9,1655,60.2,2022-06-17T22:02:36Z
763,Finals walkkk,Walk,3734.8,2991,90.9,2022-06-16T22:04:17Z
765,WA coast,Walk,6107.8,4676,172.5,2022-06-13T10:36:23Z
766,Election Day lit drop ,Walk,12232.4,11842,190.4,2022-06-07T05:42:43Z
767,Day b4 Election Day lit drop ,Walk,3927.2,4100,0.0,2022-06-06T17:28:29Z
769,Anaheimmm,Walk,3335.2,2372,3.6,2022-05-25T18:58:36Z
770,EEAAO walk back,Walk,1286.6,2105,87.6,2022-05-23T21:56:20Z
771,I could bus but I’ll walk ,Walk,3418.6,2317,8.4,2022-05-23T17:23:56Z
774,Walk 2 tennis + pickup snax in jtown,Walk,6126.4,4200,75.7,2022-05-21T14:37:35Z
776,Wozniak to tea pipeline ,Walk,769.5,594,3.4,2022-05-19T15:17:33Z
778,Future stack break ,Walk,663.4,176,0.0,2022-05-17T18:15:51Z
780,Vidy p2,Walk,4090.6,2993,95.3,2022-05-14T14:39:53Z
781,Vidyyy,Walk,2855.4,2122,10.2,2022-05-14T13:40:12Z
782,4 souvla,Walk,3937.4,2677,48.2,2022-05-14T12:18:16Z
784,Night Walk,Walk,2016.9,1757,90.4,2022-05-11T21:06:18Z
789,Devnet summit day 0 ,Walk,7296.8,5949,27.9,2022-05-02T15:47:06Z
791,10s to indie bookstore day,Walk,7708.5,6071,136.0,2022-04-30T17:04:32Z
793,Pickup Mochi donuts pre-match ,Walk,6123.5,4198,66.8,2022-04-30T11:56:39Z
794,Friday midnight walk ,Walk,1597.2,1603,0.0,2022-04-30T00:14:40Z
795,Car-free jfk birthday ,Walk,5015.8,3955,96.8,2022-04-28T18:32:26Z
800,To sam’s ,Walk,1332.5,1152,22.9,2022-04-23T14:12:16Z
801,To matt haney’s bday kaiyo rooftop ,Walk,2892.3,1928,0.0,2022-04-23T13:09:52Z
802,Happy hr p3,Walk,2122.3,1674,89.2,2022-04-22T22:07:34Z
803,Happy hr p2,Walk,587.4,496,0.0,2022-04-22T19:29:42Z
804,Happy hr,Walk,5485.7,3594,18.6,2022-04-22T17:09:40Z
805,GOTV Election Day canvassing,Walk,8647.0,7912,204.0,2022-04-19T11:57:43Z
806,Sunset errands before returning car rofl,Walk,5732.1,4315,57.2,2022-04-18T12:39:24Z
810,Post-boba office,Walk,1884.0,1560,88.7,2022-04-12T16:49:44Z
811,Errand x coffee x manager + Anthony,Walk,2753.6,2003,26.7,2022-04-12T11:24:16Z
812,Walk to manager + Anthony pre-GTM mini golf,Walk,3658.4,2326,0.0,2022-04-11T13:50:05Z
813,Walk to kc brunch x Abby ,Walk,1507.7,1141,19.8,2022-04-10T10:15:39Z
