,name,type,distance,moving_time,total_elevation_gain,start_date_local
477,30 min Country Ride with Ally Love,Ride,12416.7,1800,0.0,2023-02-27T09:40:09Z
478,60 min Pop Ride with Emma Lovewell,Ride,25620.4,3600,0.0,2023-02-26T21:10:28Z
479,Night Ride,Ride,0.0,3664,0.0,2023-02-26T21:09:47Z
483,45 min Pop Ride with Cody Rigsby,Ride,19319.2,2700,0.0,2023-02-25T20:25:39Z
484,45 min Pop Ride with Kendall Toole,Ride,14226.0,1986,0.0,2023-02-24T20:15:33Z
493,Bakery ride w/ Andrew cont.,Ride,7047.1,2565,122.8,2023-02-20T13:27:38Z
494,Modified bakery ride w/ Andrew p1,Ride,17604.4,4190,188.0,2023-02-20T10:39:26Z
510,Evening Ride,Ride,2946.7,1234,89.2,2023-02-12T19:26:45Z
511,Afternoon Ride,Ride,7764.2,2415,43.4,2023-02-12T13:46:43Z
514,Night Ride,Ride,2908.7,849,9.2,2023-02-10T21:41:06Z
515,Evening Ride,Ride,12873.2,4321,23.6,2023-02-10T20:22:11Z
516,1st east bay bike party!,Ride,8346.6,2733,30.8,2023-02-10T20:19:29Z
517,Evening Ride,Ride,5343.3,1807,50.0,2023-02-10T19:01:39Z
518,Evening Ride,Ride,2273.7,664,0.0,2023-02-10T18:03:07Z
521,Afternoon Ride,Ride,6281.8,1891,107.8,2023-02-09T17:13:30Z
522,Morning Ride,Ride,6211.1,1375,18.4,2023-02-09T10:40:02Z
531,Afternoon Ride,Ride,10422.1,3019,123.0,2023-02-02T16:18:20Z
532,Morning Ride,Ride,3030.2,719,9.4,2023-02-02T10:12:18Z
541,Afternoon Ride,Ride,5415.6,1554,84.0,2023-01-29T17:18:03Z
542,Afternoon Ride,Ride,2546.6,723,26.4,2023-01-29T15:39:18Z
543,Lunch Ride,Ride,7647.8,2170,75.6,2023-01-29T11:40:02Z
544,Afternoon Ride,Ride,15460.5,4905,155.6,2023-01-28T16:11:19Z
545,Afternoon Ride,Ride,9880.1,2568,89.4,2023-01-28T13:46:09Z
565,Lunch Ride,Ride,19289.3,4814,151.2,2023-01-16T11:08:54Z
566,Morning Ride,Ride,5719.7,1506,68.8,2023-01-16T09:15:44Z
569,Evening Ride,Ride,0.0,2638,0.0,2023-01-14T18:43:58Z
594,Lunch Ride,Ride,2939.2,1136,80.4,2022-12-23T11:51:14Z
596,Morning Ride to tennis,Ride,6139.5,1674,67.0,2022-12-23T06:59:52Z
600,Afternoon Ride,Ride,10690.2,2652,135.8,2022-12-19T16:30:36Z
601,Afternoon Ride to Richmond,Ride,10290.3,2331,95.4,2022-12-19T13:15:13Z
603,Afternoon Ride for Mochi donuts,Ride,9878.6,2437,70.4,2022-12-16T15:52:52Z
606,Afternoon Ride from tacos ,Ride,7898.0,2068,94.2,2022-12-13T14:28:52Z
607,Lunch Ride for tacos ,Ride,5299.3,1256,9.0,2022-12-13T12:37:55Z
632,Bike bus,Ride,13368.6,4087,129.0,2022-11-11T07:16:26Z
636,Ride to jfk rally,Ride,16085.0,4126,131.5,2022-11-05T10:27:12Z
637,Evening Ride,Ride,2800.1,758,38.7,2022-11-04T18:17:13Z
638,Afternoon Ride,Ride,6506.7,1618,21.7,2022-11-04T14:43:17Z
639,Morning Ride,Ride,2120.6,562,6.1,2022-11-04T09:29:14Z
640,Morning Ride GOTV,Ride,6901.4,1923,60.8,2022-11-04T07:30:29Z
658,Post-tennis ride ,Ride,5715.2,1309,51.4,2022-10-16T15:50:33Z
660,First ride to tennis! ,Ride,5950.1,1402,67.7,2022-10-16T12:02:27Z
663,Afternoon Ride,Ride,2464.4,798,44.5,2022-10-14T15:25:17Z
664,Morning Ride,Ride,14927.8,3570,80.5,2022-10-14T07:06:50Z
667,Afternoon Ride,Ride,2632.3,845,53.2,2022-10-11T17:22:29Z
668,Morning Ride,Ride,2912.9,719,0.0,2022-10-11T10:27:32Z
670,Tennis to chill ride to beach with Soumi and jen to zoom back ,Ride,16830.7,4374,142.5,2022-10-08T15:35:49Z
671,Ride to ggp cheer on team ,Ride,7910.3,1909,67.2,2022-10-08T11:36:25Z
672,Afternoon Ride,Ride,13718.1,3254,82.2,2022-10-06T15:09:07Z
673,Morning Ride,Ride,5882.2,1215,12.5,2022-10-06T10:31:01Z
676,Morning Ride,Ride,15729.7,3774,135.5,2022-09-30T10:09:32Z
677,Evening Ride,Ride,2382.6,809,39.2,2022-09-29T18:04:45Z
678,Afternoon Ride,Ride,3164.9,759,12.9,2022-09-29T13:37:09Z
